pl_hostname,pl_letter,st_dist,st_disterr,st_glon,st_glat,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2
HD 75289,b,28.94,0.46,262.209386,1.089574,0.046000,,,133.48298,0.00000,0.00000,,,,0.42000,,,,,
HD 75898,b,80.58,6.45,190.969977,38.936477,1.190000,,,797.71969,0.00000,0.00000,,,,2.51000,,,,,
HD 76700,b,59.70,2.26,282.490790,-13.917959,0.049000,0.004000,-0.004000,62.60987,5.40288,-5.40288,,,,0.19700,0.01700,-0.01700,,,
HD 77338,b,41.27,1.92,251.362927,13.552255,0.061400,,,15.90000,4.70000,-5.30000,,,,0.05000,0.01500,-0.01700,,,
HD 7924,b,16.82,0.17,124.735699,13.945745,0.057000,,,9.21668,0.00000,0.00000,,,,0.02900,,,,,
HD 79498,b,48.64,2.21,204.702265,41.321994,3.130000,0.080000,-0.080000,425.90000,22.00000,-22.00000,,,,1.34000,0.07000,-0.07000,,,
HD 80606,b,29.04,,167.429268,44.311295,0.449000,0.006000,-0.006000,1252.20000,34.96000,-34.96000,10.985,0.336,-0.336,3.94000,0.11000,-0.11000,0.980,0.030,-0.030
HD 81040,b,32.56,1.26,209.363802,42.326765,1.940000,,,2180.22195,225.64979,-225.64979,,,,6.86000,0.71000,-0.71000,,,
HD 81688,b,88.26,6.09,174.226664,46.074968,0.810000,,,858.10485,0.00000,0.00000,,,,2.70000,,,,,
HD 82886,b,112.23,10.50,190.027568,47.768699,1.650000,,,413.00000,0.00000,0.00000,,,,1.30000,,,,,
HD 82943,b,27.46,0.62,245.842637,28.251215,1.180000,,,556.00000,0.00000,0.00000,,,,1.75000,,,,,
HD 82943,c,27.46,0.62,245.842637,28.251215,0.747000,,,639.00000,0.00000,0.00000,,,,2.01000,,,,,
HD 83443,b,43.53,1.64,269.595451,6.679256,0.040600,0.002300,-0.002300,127.00000,11.00000,-11.00000,,,,0.40000,0.03400,-0.03400,,,
HD 8535,b,56.34,2.55,279.920575,-74.388894,,,,200.22446,0.00000,0.00000,,,,0.63000,,,,,
HD 85390,b,33.96,0.94,275.545963,3.185510,,,,44.49433,0.00000,0.00000,,,,0.14000,,,,,
HD 85512,b,11.15,0.10,271.675935,8.159949,0.260000,0.005000,-0.005000,3.60000,0.50000,-0.50000,,,,0.01133,0.00157,-0.00157,,,
HD 8574,b,44.15,1.54,131.850302,-33.719514,0.757000,0.005000,-0.005000,572.00000,19.00000,-19.00000,,,,1.80000,0.06000,-0.06000,,,
HD 86081,b,91.16,9.06,242.200793,37.609730,0.039000,,,476.72492,0.00000,0.00000,,,,1.50000,,,,,
HD 86226,b,42.48,1.48,259.395127,23.629380,2.600000,0.400000,-0.400000,476.72500,317.81700,-317.81700,,,,1.50000,1.00000,-1.00000,,,
HD 86264,b,72.57,4.08,253.159847,29.655768,2.860000,0.070000,-0.070000,2224.71628,508.50658,-508.50658,,,,7.00000,1.60000,-1.60000,,,
HD 8673,b,38.26,1.12,131.000228,-27.747646,3.020000,0.150000,-0.150000,4513.00000,508.50700,-508.50700,,,,14.20000,1.60000,-1.60000,,,
HD 87883,b,18.06,0.30,191.186608,54.540507,3.600000,0.080000,-0.080000,565.71357,108.05765,-108.05765,,,,1.78000,0.34000,-0.34000,,,
HD 88133,b,74.46,5.92,217.810456,51.898177,0.047000,,,69.91965,0.00000,0.00000,,,,0.22000,,,,,
HD 89307,b,30.88,0.92,227.304203,51.395667,3.270000,0.070000,-0.070000,565.71357,41.31616,-41.31616,,,,1.78000,0.13000,-0.13000,,,
HD 89744,b,38.99,1.04,178.389916,56.393689,0.890000,,,2539.35472,0.00000,0.00000,,,,7.99000,,,,,
HD 90156,b,22.09,0.36,268.372720,23.152132,,,,17.47991,0.00000,0.00000,,,,0.05500,,,,,
HD 92788,b,32.32,1.00,251.207220,47.352309,0.970000,,,1226.77212,0.00000,0.00000,,,,3.86000,,,,,
HD 93083,b,28.90,0.81,274.645270,22.221547,0.477000,,,117.59215,0.00000,0.00000,,,,0.37000,,,,,
HD 93385,b,42.52,1.52,279.100518,15.542511,0.111600,,,8.35900,0.00000,0.00000,,,,0.02630,,,,,
HD 93385,c,42.52,1.52,279.100518,15.542511,0.257000,,,10.11000,0.00000,0.00000,,,,0.03180,,,,,
HD 9446,b,52.85,2.80,133.797807,-32.720986,0.189000,0.006000,-0.006000,222.47200,19.06900,-19.06900,,,,0.70000,0.06000,-0.06000,,,
HD 9446,c,52.85,2.80,133.797807,-32.720986,0.654000,0.022000,-0.022000,578.42600,54.02880,-54.02880,,,,1.82000,0.17000,-0.17000,,,
